problem,category,run,status,completeness
1,open,no,,
3,open,no,,
5,open,no,,
9,open,no,,
10,open,no,,
11,open,no,,
12,open,no,,
14,open,no,,
15,open,no,,
17,open,no,,
18,open,no,,
20,open,no,,
25,open,no,,
28,open,no,,
30,open,no,,
32,open,no,,
33,open,no,,
36,open,no,,
39,open,no,,
40,open,no,,
41,open,no,,
44,open,no,,
50,open,no,,
51,open,no,,
52,open,no,,
60,open,no,,
61,open,no,,
62,open,no,,
65,open,no,,
66,open,no,,
68,open,no,,
70,open,no,,
74,open,no,,
75,open,no,,
77,open,no,,
78,open,no,,
80,open,no,,
81,open,no,,
82,open,no,,
84,open,no,,
85,open,no,,
86,open,no,,
87,open,no,,
89,open,no,,
91,open,no,,
96,open,no,,
98,open,no,,
99,open,no,,
100,open,no,,
101,open,no,,
102,open,no,,
103,open,no,,
104,open,no,,
108,open,no,,
111,open,no,,
112,open,no,,
117,open,no,,
119,open,no,,
120,open,no,,
122,open,no,,
123,open,no,,
124,open,no,,
126,open,no,,
129,open,no,,
130,open,no,,
131,open,no,,
132,open,no,,
137,open,no,,
138,open,no,,
141,open,no,,
142,open,no,,
143,open,no,,
145,open,no,,
146,open,no,,
148,open,no,,
149,open,no,,
151,open,no,,
153,open,no,,
155,open,no,,
156,open,no,,
158,open,no,,
159,open,no,,
160,open,no,,
161,open,no,,
162,open,no,,
165,open,no,,
168,open,no,,
169,open,no,,
170,open,no,,
172,open,no,,
173,open,no,,
174,open,no,,
176,open,no,,
177,open,no,,
180,open,no,,
181,open,no,,
183,open,no,,
184,open,no,,
187,open,no,,
188,open,no,,
193,open,no,,
195,open,no,,
196,open,yes,unsolved,38
197,open,yes,unsolved,38
200,open,yes,unsolved,35
201,open,yes,unsolved,55
203,open,yes,unsolved,35
208,open,yes,unsolved,35
212,open,yes,unsolved,38
213,open,yes,unsolved,28
217,open,yes,unsolved,28
218,open,yes,unsolved,22
222,open,yes,solved,75
233,open,yes,unsolved,28
234,open,yes,unsolved,18
236,open,yes,unsolved,35
238,open,yes,unsolved,38
241,open,no,,
243,open,yes,unsolved,45
244,open,yes,unsolved,35
247,open,yes,unsolved,28
249,open,yes,unsolved,32
251,open,yes,unsolved,38
252,open,yes,unsolved,35
254,open,yes,unsolved,38
256,open,yes,solved,100
257,open,yes,unsolved,35
260,open,yes,unsolved,45
261,open,yes,unsolved,45
263,open,yes,unsolved,55
264,open,yes,unsolved,50
265,open,yes,unsolved,72
267,open,yes,unsolved,35
269,open,yes,unsolved,35
271,open,yes,unsolved,62
272,open,yes,solved,20
273,open,yes,unsolved,45
274,open,yes,unsolved,28
276,open,yes,solved,96
278,open,yes,solved,92
279,open,yes,unsolved,38
282,open,yes,unsolved,42
288,open,yes,unsolved,25
289,open,yes,unsolved,24
291,open,yes,unsolved,55
293,open,yes,solved,100
295,open,yes,unsolved,35
301,open,yes,unsolved,45
302,open,yes,unsolved,35
304,open,yes,unsolved,38
306,open,yes,unsolved,25
311,open,yes,unsolved,24
312,open,yes,unsolved,35
313,open,yes,unsolved,38
317,open,yes,unsolved,35
319,open,yes,unsolved,45
320,open,yes,unsolved,62
321,open,yes,unsolved,25
322,open,yes,unsolved,25
323,open,yes,unsolved,35
324,open,yes,unsolved,45
325,open,yes,unsolved,35
326,open,yes,unsolved,35
327,open,yes,unsolved,25
329,open,yes,unsolved,35
332,open,yes,solved,92
334,open,yes,unsolved,35
335,open,yes,unsolved,35
336,open,yes,unsolved,18
338,open,yes,solved,42
340,open,yes,unsolved,35
341,open,yes,solved,25
342,open,yes,unsolved,28
345,open,yes,unsolved,35
346,open,yes,unsolved,38
348,open,yes,unsolved,42
349,open,yes,unsolved,62
352,open,yes,unsolved,35
354,open,yes,unsolved,38
357,open,yes,unsolved,45
359,open,yes,unsolved,38
361,open,yes,unsolved,60
365,open,yes,unsolved,55
367,open,yes,unsolved,35
368,open,yes,unsolved,85
371,open,yes,unsolved,25
373,open,yes,unsolved,18
374,open,yes,unsolved,42
376,open,yes,unsolved,35
377,open,yes,unsolved,35
382,open,yes,unsolved,35
383,open,yes,unsolved,25
385,open,yes,unsolved,35
386,open,yes,unsolved,35
387,open,yes,unsolved,35
388,open,yes,solved,100
389,open,yes,unsolved,20
390,open,yes,unsolved,35
393,open,yes,unsolved,70
394,open,yes,unsolved,30
396,open,yes,unsolved,35
400,open,yes,unsolved,35
404,open,yes,unsolved,55
406,open,yes,unsolved,35
408,open,yes,unsolved,35
409,open,yes,unsolved,65
410,open,yes,unsolved,35
411,open,no,,
412,open,no,,
413,open,no,,
414,open,no,,
415,open,no,,
416,open,no,,
417,open,no,,
